Agency Network,Agency,Agency Domain,Fossil Fuel Company
INDEPENDENT,The Civic Partnership,http://www.civicpartners.com.au,United Petroleum
INDEPENDENT,The Media Store,http://www.themediastore.com.au,Simply Energy
INDEPENDENT,The Nimble,http://www.getdatable.com,"Exxaro, Glencore, Sasol"
INDEPENDENT,The Riverbed Agency,http://www.theriverbed.co.za,BP
WPP,The&Partnership,http://www.theandpartnership.com,British Gas (Centrica)
INDEPENDENT,Think PR,http://www.thinkpr.dk,Spirit Energy
INDEPENDENT,TLA Worldwide,http://www.tlaworldwide.com,"Ampol, Simply Energy, South32"
INDEPENDENT,TYO,http://www.tallahasseeyouthorchestras.com,JERA
Interpublic Group,UM,http://www.miami.edu,"AGL Energy , ExxonMobil, Saudi Aramco"
INDEPENDENT,Valtech (Union),https://www.valtech.com/en-in/news/valtech-welcomes-union/,NRG Energy
INDEPENDENT,VCCP (Chime Network),https://www.chimegroup.com/,Shell
INDEPENDENT,Veritas,http://www.veritasatlanta.com,Petro-Canada
INDEPENDENT,Verve,http://www.volckano.com,Shell
WPP,VMLY&R,http://www.vmlyr.com," BP, Chevron (Caltex), Shell, Thai Oil "
INDEPENDENT,WA Communications Ltd,http://www.wacomms.co.uk,Harbour Energy PLC
INDEPENDENT,Wahoo Advertising,http://www.wahooadvertising.com.au,Glencore
WPP,Wavemaker,http://www.wavemakerglobal.com,Chevron
WPP,We Are Click,https://weareclick.vn/,Shell
Interpublic Group,Weber Shandwick,http://www.webershandwick.com,"ExxonMobil, Repsol , Shell"
Interpublic Group,Weber Shandwick (Weber Shandwick India),https://www.webershandwickindia.com/,Cairn Oil & Gas
INDEPENDENT,Willard Public Affairs,http://www.willard.com.au,Caltex (Chevron)
WPP,Wunderman Thompson,http://www.wundermanthompson.com," British Gas (Centrica), Shell "
WPP,Wunderman Thompson (Wunderman Thompson Tokyo),https://www.wundermanthompson.com/japan,Idemitsu Kosan
INDEPENDENT,XELEMENT,https://www.xelement.co/,"Aramco, TotalEnergies"
INDEPENDENT,Yell Advertising,http://www.yell.com,Chevron
